Order ID,Date,Fulfilment,Sales Channel ,Item,Amount,ship-state
405-8457623-9269955,04-30-22,Amazon,Amazon.in,kurta,399,MAHARASHTRA
408-6820155-3521913,04-30-22,Amazon,Amazon.in,Set,751,ASSAM
403-6190683-2687538,04-30-22,Amazon,Amazon.in,Western Dress,791,Gujarat
408-4069830-3819562,04-30-22,Amazon,Amazon.in,Set,684,WEST BENGAL
408-4069830-3819562,04-30-22,Amazon,Amazon.in,Set,1281,WEST BENGAL
408-4069830-3819562,04-30-22,Amazon,Amazon.in,Set,1186,WEST BENGAL
171-7367545-7081126,04-30-22,Amazon,Amazon.in,kurta,499,TELANGANA
404-6522553-9345930,04-30-22,Merchant,Amazon.in,Set,1105.36,UTTARAKHAND
403-9950518-0349133,04-30-22,Amazon,Amazon.in,kurta,,TELANGANA
407-6599093-6553153,04-30-22,Merchant,Amazon.in,Bottom,377,WEST BENGAL
403-3763475-2237125,04-30-22,Amazon,Amazon.in,Western Dress,744,TAMIL NADU
405-1492294-0323520,04-30-22,Amazon,Amazon.in,Western Dress,744,UTTARAKHAND
403-1162895-2484367,04-30-22,Merchant,Amazon.in,Western Dress,859,RAJASTHAN
171-6833843-5473114,04-30-22,Amazon,Amazon.in,kurta,487,Gujarat
403-1477057-8253913,04-30-22,Amazon,Amazon.in,Western Dress,825,KERALA
408-2114413-6089906,04-30-22,Amazon,Amazon.in,Set,680,BIHAR
405-1879750-2639521,04-30-22,Merchant,Amazon.in,kurta,725,TAMIL NADU
406-5727754-5302723,04-30-22,Amazon,Amazon.in,Set,696,Gujarat
405-0901744-8270705,04-30-22,Amazon,Amazon.in,kurta,499,Gujarat
405-9112089-3379536,04-30-22,Amazon,Amazon.in,kurta,,MAHARASHTRA
408-6357132-2310703,04-30-22,Amazon,Amazon.in,Set,696,JAMMU & KASHMIR
406-5334922-9670748,04-30-22,Amazon,Amazon.in,kurta,406,KARNATAKA
402-8519791-3706738,04-30-22,Amazon,Amazon.in,Set,852,DELHI
408-1830318-0357940,04-30-22,Amazon,Amazon.in,kurta,399,HARYANA
406-5103760-7326749,04-30-22,Amazon,Amazon.in,kurta,432,Gujarat
402-7841951-1872363,04-30-22,Amazon,Amazon.in,Set,,DELHI
408-7698765-2294756,04-30-22,Merchant,Amazon.in,Set,1338,MAHARASHTRA
404-1856281-9996319,04-30-22,Merchant,Amazon.in,Western Dress,472,MADHYA PRADESH
406-5406738-7113145,04-30-22,Amazon,Amazon.in,Set,788,DELHI
405-5257740-5301158,04-30-22,Merchant,Amazon.in,Set,832,HARYANA
405-5257740-5301158,04-30-22,Merchant,Amazon.in,kurta,399,HARYANA
405-2072502-4089911,04-30-22,Amazon,Amazon.in,Set,599,HARYANA
405-0882561-5952340,04-30-22,Amazon,Amazon.in,Set,692,WEST BENGAL
403-7266170-1163500,04-30-22,Merchant,Amazon.in,Top,518,MAHARASHTRA
405-8114272-1687512,04-30-22,Amazon,Amazon.in,Set,788,DELHI
171-6138639-1478731,04-30-22,Amazon,Amazon.in,kurta,318,TELANGANA
